255,MEDIUM,< 2 years,RENT,LOW,debt_consolidation,HIGH,AVERAGE,YES,NEVER,MANY,NO,HIGH,NO
256,MEDIUM,10+ years,RENT,LOW,credit_card,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
260,LOW,10+ years,MORTGAGE,MEDIUM,other,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,LOW,NO
267,MEDIUM,6 - 9 years,RENT,HIGH,other,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
271,HIGH,10+ years,RENT,LOW,small_business,AVERAGE,AVERAGE,YES,NEVER,FEW,NO,MEDIUM,NO
274,MEDIUM,< 2 years,RENT,LOW,debt_consolidation,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
279,MEDIUM,10+ years,OWN,MEDIUM,debt_consolidation,HIGH,AVERAGE,NO,NEVER,FEW,NO,MEDIUM,NO
287,LOW,10+ years,MORTGAGE,MEDIUM,debt_consolidation,AVERAGE,LOW,YES,NEVER,MANY,NO,MEDIUM,NO
291,MEDIUM,6 - 9 years,OWN,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,NO MORE THAN 2 YEARS AGO,MANY,NO,MEDIUM,NO
292,MEDIUM,10+ years,RENT,MEDIUM,debt_consolidation,HIGH,LOW,NO MORE THAN 2 YEARS AGO,AVERAGE,NO,HIGH,NO
296,MEDIUM,10+ years,MORTGAGE,MEDIUM,credit_card,LOW,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
300,MEDIUM,2 - 5 years,RENT,MEDIUM,credit_card,AVERAGE,LOW,NO,NEVER,AVERAGE,NO,MEDIUM,NO
301,HIGH,2 - 5 years,RENT,MEDIUM,small_business,LOW,HIGH,NO,NEVER,AVERAGE,NO,LOW,NO
302,HIGH,6 - 9 years,OWN,MEDIUM,home_improvement,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
305,HIGH,10+ years,OWN,MEDIUM,debt_consolidation,HIGH,LOW,YES,NEVER,MANY,NO,HIGH,NO
311,MEDIUM,2 - 5 years,RENT,MEDIUM,debt_consolidation,AVERAGE,LOW,NO,NEVER,AVERAGE,NO,HIGH,NO
314,MEDIUM,2 - 5 years,RENT,MEDIUM,credit_card,HIGH,AVERAGE,YES,NEVER,MANY,NO,HIGH,NO
315,HIGH,10+ years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,NO,IN PAST 2 YEARS,AVERAGE,NO,MEDIUM,NO
316,MEDIUM,2 - 5 years,RENT,LOW,other,AVERAGE,AVERAGE,NO,NEVER,FEW,NO,HIGH,NO
317,LOW,2 - 5 years,RENT,MEDIUM,credit_card,AVERAGE,HIGH,NO,NEVER,AVERAGE,NO,LOW,NO
318,HIGH,10+ years,OWN,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
319,HIGH,< 2 years,MORTGAGE,MEDIUM,debt_consolidation,LOW,AVERAGE,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,HIGH,NO
325,LOW,2 - 5 years,RENT,LOW,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
328,HIGH,2 - 5 years,RENT,HIGH,credit_card,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
329,MEDIUM,10+ years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
334,HIGH,2 - 5 years,MORTGAGE,HIGH,debt_consolidation,LOW,HIGH,NO,NEVER,MANY,NO,MEDIUM,NO
340,MEDIUM,2 - 5 years,RENT,LOW,credit_card,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
341,HIGH,10+ years,MORTGAGE,HIGH,car,LOW,HIGH,YES,NEVER,MANY,NO,LOW,NO
345,MEDIUM,10+ years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
347,MEDIUM,10+ years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO
348,HIGH,6 - 9 years,MORTGAGE,MEDIUM,home_improvement,AVERAGE,LOW,NO MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
349,MEDIUM,2 - 5 years,RENT,LOW,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
355,MEDIUM,10+ years,OWN,HIGH,major_purchase,LOW,HIGH,YES,NEVER,AVERAGE,NO,LOW,NO
357,MEDIUM,2 - 5 years,RENT,LOW,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
358,HIGH,6 - 9 years,MORTGAGE,HIGH,credit_card,HIGH,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO
362,LOW,2 - 5 years,RENT,MEDIUM,other,AVERAGE,LOW,YES,IN PAST 2 YEARS,FEW,NO,HIGH,NO
363,HIGH,10+ years,RENT,MEDIUM,credit_card,HIGH,AVERAGE,NO,NEVER,MANY,NO,HIGH,NO
366,MEDIUM,2 - 5 years,MORTGAGE,LOW,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
377,MEDIUM,2 - 5 years,RENT,LOW,debt_consolidation,LOW,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
381,HIGH,2 - 5 years,OWN,LOW,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
382,MEDIUM,< 2 years,RENT,LOW,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,FEW,NO,HIGH,NO
389,MEDIUM,< 2 years,RENT,LOW,debt_consolidation,LOW,HIGH,NO,NEVER,FEW,NO,LOW,NO
391,MEDIUM,2 - 5 years,RENT,MEDIUM,credit_card,HIGH,LOW,YES MORE THAN 2 YEARS AGO,MANY,NO,MEDIUM,NO
393,LOW,< 2 years,RENT,HIGH,debt_consolidation,LOW,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
413,LOW,< 2 years,RENT,LOW,other,LOW,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
414,MEDIUM,2 - 5 years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,NO,NEVER,FEW,NO,HIGH,NO
415,HIGH,10+ years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
418,HIGH,10+ years,MORTGAGE,HIGH,debt_consolidation,HIGH,AVERAGE,NO,NEVER,MANY,NO,HIGH,NO
423,LOW,unemployed,RENT,LOW,major_purchase,LOW,AVERAGE,YES,NEVER,FEW,YES,HIGH,YES
425,MEDIUM,6 - 9 years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO
430,HIGH,2 - 5 years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
431,HIGH,2 - 5 years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
434,HIGH,< 2 years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,FEW,NO,MEDIUM,NO
436,HIGH,10+ years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,YES MORE THAN 2 YEARS AGO,MANY,NO,MEDIUM,NO
440,MEDIUM,unemployed,MORTGAGE,LOW,debt_consolidation,AVERAGE,HIGH,YES,NEVER,MANY,NO,LOW,NO
448,HIGH,2 - 5 years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,AVERAGE,NO,NEVER,MANY,NO,MEDIUM,NO
450,LOW,2 - 5 years,MORTGAGE,LOW,credit_card,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
455,MEDIUM,10+ years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,NO MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
459,MEDIUM,2 - 5 years,RENT,MEDIUM,debt_consolidation,LOW,LOW,NO,NEVER,FEW,NO,HIGH,NO
463,LOW,6 - 9 years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,HIGH,NO
464,LOW,6 - 9 years,MORTGAGE,HIGH,home_improvement,LOW,HIGH,YES,NEVER,MANY,NO,LOW,NO
465,LOW,10+ years,MORTGAGE,HIGH,other,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
467,HIGH,< 2 years,RENT,HIGH,small_business,HIGH,LOW,NO,IN PAST 2 YEARS,MANY,NO,HIGH,NO
470,LOW,6 - 9 years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
473,HIGH,10+ years,MORTGAGE,LOW,debt_consolidation,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
474,LOW,10+ years,RENT,MEDIUM,debt_consolidation,LOW,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
477,MEDIUM,6 - 9 years,RENT,MEDIUM,debt_consolidation,AVERAGE,LOW,YES,NEVER,AVERAGE,NO,HIGH,NO
480,HIGH,< 2 years,RENT,HIGH,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
481,HIGH,< 2 years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
485,LOW,10+ years,OWN,MEDIUM,debt_consolidation,LOW,AVERAGE,YES MORE THAN 2 YEARS AGO,FEW,NO,HIGH,NO
488,MEDIUM,2 - 5 years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
489,HIGH,10+ years,RENT,HIGH,credit_card,HIGH,AVERAGE,NO,NEVER,MANY,NO,HIGH,NO
490,MEDIUM,< 2 years,RENT,MEDIUM,debt_consolidation,HIGH,HIGH,NO MORE THAN 2 YEARS AGO,MANY,NO,MEDIUM,NO
493,HIGH,10+ years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
497,HIGH,2 - 5 years,OWN,HIGH,debt_consolidation,AVERAGE,AVERAGE,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,HIGH,NO
499,MEDIUM,2 - 5 years,RENT,LOW,debt_consolidation,LOW,AVERAGE,YES,NEVER,FEW,NO,HIGH,NO
500,HIGH,10+ years,OWN,MEDIUM,debt_consolidation,HIGH,HIGH,NO,NEVER,AVERAGE,NO,LOW,NO
503,LOW,2 - 5 years,RENT,MEDIUM,other,AVERAGE,AVERAGE,YES,NEVER,FEW,NO,HIGH,NO
506,MEDIUM,< 2 years,RENT,MEDIUM,credit_card,AVERAGE,AVERAGE,YES,NEVER,MANY,NO,HIGH,NO
508,HIGH,2 - 5 years,RENT,HIGH,debt_consolidation,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
510,MEDIUM,6 - 9 years,RENT,HIGH,credit_card,LOW,AVERAGE,YES MORE THAN 2 YEARS AGO,MANY,NO,MEDIUM,NO
513,HIGH,10+ years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
515,HIGH,2 - 5 years,RENT,LOW,other,AVERAGE,AVERAGE,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
519,HIGH,< 2 years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
520,HIGH,2 - 5 years,RENT,MEDIUM,credit_card,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
523,MEDIUM,2 - 5 years,OWN,LOW,debt_consolidation,HIGH,AVERAGE,YES MORE THAN 2 YEARS AGO,FEW,NO,HIGH,NO
524,HIGH,10+ years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
527,LOW,6 - 9 years,RENT,LOW,home_improvement,AVERAGE,AVERAGE,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,LOW,NO
528,MEDIUM,10+ years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,AVERAGE,NO MORE THAN 2 YEARS AGO,MANY,NO,MEDIUM,NO
531,HIGH,10+ years,RENT,MEDIUM,credit_card,AVERAGE,AVERAGE,YES,NEVER,FEW,NO,HIGH,NO
533,LOW,10+ years,RENT,MEDIUM,house,AVERAGE,AVERAGE,YES,NEVER,FEW,YES,LOW,YES
535,LOW,unemployed,MORTGAGE,LOW,home_improvement,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
537,HIGH,10+ years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,HIGH,NO,NEVER,MANY,NO,LOW,NO
538,MEDIUM,6 - 9 years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO
539,MEDIUM,6 - 9 years,MORTGAGE,MEDIUM,credit_card,HIGH,AVERAGE,NO,NEVER,MANY,NO,HIGH,NO
540,MEDIUM,< 2 years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
542,MEDIUM,10+ years,RENT,LOW,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,FEW,NO,HIGH,NO
546,HIGH,6 - 9 years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
547,HIGH,2 - 5 years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
548,MEDIUM,2 - 5 years,RENT,MEDIUM,car,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
553,HIGH,< 2 years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
554,MEDIUM,10+ years,MORTGAGE,LOW,credit_card,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
